wlbName,wlbDocumentType,wlbDocumentName,wlbDocumentUrl
7/11-1,OLD NPD WDSS,149_01_WDSS_General_Information,https://factpages.sodir.no/pbl/wdss_old/149_01_WDSS_General_Information.pdf
7/11-1,REPORTED BY LICENSEE,149_7_11_1_DRILLING_MUD_RECORD,https://factpages.sodir.no/pbl/wellbore_documents/149_7_11_1_DRILLING_MUD_RECORD.PDF
7/11-1,REPORTED BY LICENSEE,149_7_11_1_DRILLING_MUD_REPORT,https://factpages.sodir.no/pbl/wellbore_documents/149_7_11_1_DRILLING_MUD_REPORT.PDF
7/11-2,OLD NPD WDSS,156_01_WDSS_General_Information,https://factpages.sodir.no/pbl/wdss_old/156_01_WDSS_General_Information.pdf
7/11-2,REPORTED BY LICENSEE,156_7_11_2_DRILL_STEM_TEST_DATA_TEST-NO-1,https://factpages.sodir.no/pbl/wellbore_documents/156_7_11_2_DRILL_STEM_TEST_DATA_TEST-NO-1.PDF
7/11-2,REPORTED BY LICENSEE,156_7_11_2_DRILL_STEM_TEST_DATA_TEST_NO-2,https://factpages.sodir.no/pbl/wellbore_documents/156_7_11_2_DRILL_STEM_TEST_DATA_TEST_NO-2.PDF
7/11-3,OLD NPD WDSS,159_01_WDSS_General_Information,https://factpages.sodir.no/pbl/wdss_old/159_01_WDSS_General_Information.pdf
7/11-3,REPORTED BY LICENSEE,159_7_11_3_DRILL_STEM_TEST_DATA_TEST_NO-6,https://factpages.sodir.no/pbl/wellbore_documents/159_7_11_3_DRILL_STEM_TEST_DATA_TEST_NO-6.PDF
7/11-3,REPORTED BY LICENSEE,159_7_11_3_DRILL_STEM_TEST_DATA_TEST_NO-7,https://factpages.sodir.no/pbl/wellbore_documents/159_7_11_3_DRILL_STEM_TEST_DATA_TEST_NO-7.PDF
7/11-7,OLD NPD WDSS,57_01_WDSS_General_Information,https://factpages.sodir.no/pbl/wdss_old/57_01_WDSS_General_Information.pdf
7/11-7,OLD NPD WDSS,57_02_WDSS_completion_log,https://factpages.sodir.no/pbl/wdss_old/57_02_WDSS_completion_log.pdf
