wlbName,wlbDocumentType,wlbDocumentName,wlbDocumentUrl
7/11-2,REPORTED BY LICENSEE,156_7_11_2_WELL_COMPLETION_REPORT_PRODUCTION_LICENSE_018,https://factpages.sodir.no/pbl/wellbore_documents/156_7_11_2_WELL_COMPLETION_REPORT_PRODUCTION_LICENSE_018.PDF
7/11-1,REPORTED BY LICENSEE,149_7_11_1_WELL_COMPLETION_REPORT,https://factpages.sodir.no/pbl/wellbore_documents/149_7_11_1_WELL_COMPLETION_REPORT.PDF
7/11-1,REPORTED BY LICENSEE,149_7_11_1_WELL_COMPLETION_REPORT_1,https://factpages.sodir.no/pbl/wellbore_documents/149_7_11_1_WELL_COMPLETION_REPORT_1.PDF
7/11-2,REPORTED BY LICENSEE,156_7_11_2_WELL_COMPLETION_REPORT,https://factpages.sodir.no/pbl/wellbore_documents/156_7_11_2_WELL_COMPLETION_REPORT.PDF
7/11-3,REPORTED BY LICENSEE,159_7_11_3_WELL_COMPLETION_REPORT-1,https://factpages.sodir.no/pbl/wellbore_documents/159_7_11_3_WELL_COMPLETION_REPORT-1.PDF
7/11-3,REPORTED BY LICENSEE,159_7_11_3_WELL_COMPLETION_REPORT-2,https://factpages.sodir.no/pbl/wellbore_documents/159_7_11_3_WELL_COMPLETION_REPORT-2.PDF
7/11-7,OLD NPD WDSS,57_02_WDSS_completion_log,https://factpages.sodir.no/pbl/wdss_old/57_02_WDSS_completion_log.pdf
7/11-7,REPORTED BY LICENSEE,57_01_7_11_7_Completion_Report_and_Completion_log,https://factpages.sodir.no/pbl/wellbore_documents/57_01_7_11_7_Completion_Report_and_Completion_log.pdf
7/11-1,REPORTED BY LICENSEE,149_7_11_1_COD,https://factpages.sodir.no/pbl/wellbore_documents/149_7_11_1_COD.PDF
7/11-1,REPORTED BY LICENSEE,149_7_11_1_VELOG_PROCESSING_COD_FIELD,https://factpages.sodir.no/pbl/wellbore_documents/149_7_11_1_VELOG_PROCESSING_COD_FIELD.PDF
