Wellbore,Casing type,Casing diameter [in],Casing depth [m],Hole diameter [in],Hole depth [m],LOT/FIT mud eqv. [g/cm3],Formation test type,Source document,Source URL,Evidence,Confidence
7/11-2,Conductor,30,132,36,132,,,156_7_11_2_WELL_COMPLETION_REPORT_PRODUCTION_LICENSE_018,https://factpages.sodir.no/pbl/wellbore_documents/156_7_11_2_WELL_COMPLETION_REPORT_PRODUCTION_LICENSE_018.PDF,"| | 30-inch set at 132 meters (435 feet) RKB in 36"" hole! and",0.9
7/11-2,Surface,20,484,26,484,,,156_7_11_2_WELL_COMPLETION_REPORT_PRODUCTION_LICENSE_018,https://factpages.sodir.no/pbl/wellbore_documents/156_7_11_2_WELL_COMPLETION_REPORT_PRODUCTION_LICENSE_018.PDF,"a | 20-inch set at 484 meters (1587 feet) RKB in 26"" hole and",0.9
7/11-2,Intermediate,13.375,1945,,1945,,,156_7_11_2_WELL_COMPLETION_REPORT_PRODUCTION_LICENSE_018,https://factpages.sodir.no/pbl/wellbore_documents/156_7_11_2_WELL_COMPLETION_REPORT_PRODUCTION_LICENSE_018.PDF,"13-3/8-inch set at 1945 meters (6381 feet) RKB in 17-3"" hole",0.9
7/11-2,Production,9.625,3203,,3203,,,156_7_11_2_WELL_COMPLETION_REPORT_PRODUCTION_LICENSE_018,https://factpages.sodir.no/pbl/wellbore_documents/156_7_11_2_WELL_COMPLETION_REPORT_PRODUCTION_LICENSE_018.PDF,"9-5/8-inch set at 3203 meters (10,510 feet) RKB in™12-1/4""",0.9
7/11-1,Conductor,30,140,,140,,,149_7_11_1_WELL_COMPLETION_REPORT,https://factpages.sodir.no/pbl/wellbore_documents/149_7_11_1_WELL_COMPLETION_REPORT.PDF,", Casing Program: . 30-inch set at 140 meters (461 feet) RKB in",0.9
7/11-1,Surface,20,457,,457,,,149_7_11_1_WELL_COMPLETION_REPORT,https://factpages.sodir.no/pbl/wellbore_documents/149_7_11_1_WELL_COMPLETION_REPORT.PDF,Oo 20-inch set at 457 meters (1498 feet) RKB in,0.9
7/11-1,Intermediate,13.375,1964,,1964,,,149_7_11_1_WELL_COMPLETION_REPORT,https://factpages.sodir.no/pbl/wellbore_documents/149_7_11_1_WELL_COMPLETION_REPORT.PDF,13-3/8-inch set at 1964 meters (6444 feet) ;,0.9
7/11-3,Conductor,20,172,26,172,,,159_7_11_3_WELL_COMPLETION_REPORT-1,https://factpages.sodir.no/pbl/wellbore_documents/159_7_11_3_WELL_COMPLETION_REPORT-1.PDF,: | 20-inch set at 172 meters RKB (563 feet) in 26-inch hole with |,0.9
7/11-3,Surface,13.375,496,,496,,,159_7_11_3_WELL_COMPLETION_REPORT-1,https://factpages.sodir.no/pbl/wellbore_documents/159_7_11_3_WELL_COMPLETION_REPORT-1.PDF,oo |! 13-3/8-inch set at 496 meters RKB (1627 feet) in 17}-inceh hole © - |,0.9
7/11-3,Intermediate,9.625,1972,,1972,,,159_7_11_3_WELL_COMPLETION_REPORT-1,https://factpages.sodir.no/pbl/wellbore_documents/159_7_11_3_WELL_COMPLETION_REPORT-1.PDF,9-5/8-inch set at 1972 meters RKB (6471 feet) in 12-1/4-inch,0.9
7/11-3,Production,7,3341,,3341,,,159_7_11_3_WELL_COMPLETION_REPORT-2,https://factpages.sodir.no/pbl/wellbore_documents/159_7_11_3_WELL_COMPLETION_REPORT-2.PDF,7-inch set at 3341 meters RKB (10960 feet) with 750 sacks of,0.9
7/11-7,,,1379,,,4.7,LOT,57_01_WDSS_General_Information,https://factpages.sodir.no/pbl/wdss_old/57_01_WDSS_General_Information.pdf,"Ti. > 16"" 1379 M LOT 4.70 G/CM3",0.55
7/11-7,,,6,,,,LOT,57_01_WDSS_General_Information,https://factpages.sodir.no/pbl/wdss_old/57_01_WDSS_General_Information.pdf,"Sb 13 378"" S1S6M LOT 1.80 G/CM",0.55
7/11-7,,,5495,,,1.83,LOT,57_01_WDSS_General_Information,https://factpages.sodir.no/pbl/wdss_old/57_01_WDSS_General_Information.pdf,"&b 9 5/8"" 5495 M LOT 1.83 G/CM3",0.55
